table_name,table_description,column_name&description
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,SEGMNT_CD (STRING) NULLABLE: SEGMNT_CD
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Part Quantity (INTEGER) NULLABLE: Part Quantity
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,PART_BILBL_TYPE (STRING) NULLABLE: PART_BILBL_TYPE
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,part basic amount (FLOAT) NULLABLE: part basic amount
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PARNT_GROP (STRING) NULLABLE: PARNT_GROP
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,Customer_ID (STRING) NULLABLE: Customer_ID
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,VIN (STRING) NULLABLE: VIN
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,LOCTN_CD (STRING) NULLABLE: LOCTN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_ID (STRING) NULLABLE: RO_ID
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RO Date (DATE) NULLABLE: RO Date
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,ODMTR_REDNG (INTEGER) NULLABLE: ODMTR_REDNG
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_STATS (STRING) NULLABLE: RO_STATS
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,REVSD_PROMSD_DELVRY_DATE (DATE) NULLABLE: REVSD_PROMSD_DELVRY_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,TECH_EMPLY_CD (STRING) NULLABLE: TECH_EMPLY_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PICKUP_LOCTN (STRING) NULLABLE: PICKUP_LOCTN
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,INTL_QUTN_LABR_AMNT (INTEGER) NULLABLE: INTL_QUTN_LABR_AMNT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,INTL_QUTN_PART_AMNT (INTEGER) NULLABLE: INTL_QUTN_PART_AMNT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PART_DISCNT_PERCNTG (INTEGER) NULLABLE: PART_DISCNT_PERCNTG
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,LABR_DISCNT_PERCNTG (INTEGER) NULLABLE: LABR_DISCNT_PERCNTG
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,INTL_QUTN_TOTL_AMNT (INTEGER) NULLABLE: INTL_QUTN_TOTL_AMNT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,REVSD_QUTN_LABR_AMNT (INTEGER) NULLABLE: REVSD_QUTN_LABR_AMNT
